NC_014345
NC_011395
NC_028029
NC_014340
NC_028632
NC_014287
NC_004823
NC_023293
NC_023294
NC_014267
NC_027093
NC_022667
NC_017928
NC_007758
NC_001799
NC_013703
NC_000926
NC_009573
NC_027589
NC_027286
NC_001603
NC_002652
NC_020460
NC_024154
NC_027269
NC_017754
NC_020018
NC_027287
NC_027288
NC_001675
NC_007288
NC_020371
NC_016703
NC_021637
NC_008408
NC_011087
NC_021075
NC_020795
NC_026522
NC_004799
NC_001840
NC_024665
NC_023785
NC_006137
NC_021618
NC_000925
NC_007932
NC_023133
NC_021189
NC_024050
NC_026523
NC_024079
NC_024080
NC_012898
NC_012903
NC_025313
NC_025310
NC_024081
NC_028502
NC_024082
NC_024083
NC_013498
NC_024928
NC_015403
NC_016735
NC_010772
NC_024084
NC_024085
NC_020014
NC_022259
NC_022262
NC_022263
NC_022260
NC_022261
NC_001713
NC_008588
NC_027721
NC_025311
NC_025312
NC_018523
NC_016731
NC_014808
NC_008589
NC_025314
NC_026851
NC_027746
NC_028503
NC_011600
NC_025528
NC_026892
NC_026134
NC_015820
NC_010093
NC_007407
NC_026299
NC_026690
NC_026691
NC_008101
NC_026999
NC_004766
NC_024831
NC_023096
NC_023097
NC_024832
NC_024830
NC_024815
NC_024816
NC_022135
NC_022133
NC_009265
NC_009266
NC_023119
NC_015621
NC_023357
NC_008591
NC_023102
NC_024813
NC_022413
NC_027951
NC_027952
NC_027824
NC_012818
NC_005086
NC_027581
NC_024945
NC_027465
NC_024731
NC_027466
NC_026220
NC_022451
NC_010359
NC_026300
NC_008829
NC_022412
NC_022411
NC_014062
NC_004543
NC_027467
NC_015113
NC_025909
NC_000932
NC_023367
NC_009268
NC_026676
NC_022810
NC_026450
NC_021121
NC_025228
NC_020607
NC_025910
NC_023934
NC_024712
NC_020341
NC_023935
NC_022431
NC_022432
NC_027434
NC_028171
NC_004561
NC_023775
NC_027468
NC_023792
NC_026958
NC_026957
NC_015830
NC_024668
NC_012927
NC_009269
NC_024811
NC_022457
NC_020366
NC_028422
NC_016468
NC_025306
NC_025545
NC_025641
NC_026036
NC_027470
NC_011032
NC_028586
NC_022811
NC_028272
NC_016734
NC_015139
NC_028633
NC_027471
NC_027472
NC_013359
NC_026795
NC_026968
NC_027834
NC_009599
NC_020365
NC_024544
NC_026295
NC_026298
NC_023121
NC_004993
NC_024541
NC_022459
NC_022460
NC_024659
NC_022461
NC_024660
NC_023084
NC_024661
NC_022462
NC_024662
NC_024663
NC_020019
NC_022264
NC_022463
NC_026203
NC_026785
NC_009270
NC_028517
NC_027693
NC_018552
NC_028007
NC_026551
NC_026445
NC_026446
NC_027250
NC_010323
NC_026786
NC_027618
NC_028585
NC_014674
NC_023801
NC_021423
NC_014589
NC_026568
NC_014575
NC_024171
NC_024286
NC_025229
NC_021110
NC_016063
NC_026678
NC_009962
NC_026037
NC_004115
NC_008097
NC_028584
NC_014592
NC_027184
NC_024714
NC_025230
NC_005353
NC_026565
NC_009598
NC_023835
NC_015359
NC_001865
NC_008822
NC_025539
NC_020320
NC_020092
NC_024061
NC_027490
NC_026969
NC_026959
NC_011163
NC_021111
NC_025642
NC_024929
NC_008334
NC_028000
NC_015084
NC_022417
NC_008535
NC_013273
NC_025231
NC_028080
NC_016753
NC_028026
NC_023131
NC_025659
NC_025660
NC_025661
NC_025664
NC_025662
NC_025663
NC_022409
NC_022407
NC_028409
NC_022408
NC_022410
NC_028410
NC_014807
NC_024063
NC_009271
NC_010548
NC_023544
NC_015983
NC_007144
NC_021437
NC_028155
NC_026296
NC_028729
NC_022928
NC_009963
NC_009765
NC_009949
NC_009766
NC_026201
NC_020319
NC_009618
NC_021429
NC_028525
NC_027743
NC_028524
NC_021433
NC_021430
NC_021431
NC_021432
NC_028005
NC_028006
NC_027113
NC_026772
NC_027227
NC_024421
NC_028542
NC_028705
NC_027473
NC_025232
NC_020367
NC_018117
NC_008325
NC_028549
NC_028430
NC_024019
NC_027691
NC_013088
NC_026546
NC_027607
NC_023533
NC_026960
NC_027474
NC_025546
NC_025524
NC_027272
NC_024176
NC_027512
NC_009601
NC_024170
NC_027090
NC_024158
NC_009272
NC_008456
NC_026906
NC_026563
NC_027099
NC_016732
NC_028719
NC_024643
NC_025655
NC_028066
NC_017602
NC_016430
NC_027266
NC_025548
NC_018541
NC_025233
NC_027514
NC_011954
NC_001568
NC_026449
NC_026448
NC_027954
NC_014699
NC_020146
NC_025234
NC_026847
NC_015083
NC_027065
NC_025906
NC_025907
NC_014569
NC_024635
NC_018114
NC_025532
NC_022396
NC_022382
NC_022398
NC_022394
NC_022388
NC_022391
NC_022399
NC_022380
NC_022402
NC_022383
NC_022385
NC_022406
NC_008115
NC_014570
NC_022405
NC_022390
NC_022392
NC_022404
NC_022395
NC_022378
NC_022389
NC_022393
NC_022379
NC_022386
NC_022397
NC_022403
NC_022384
NC_022400
NC_022401
NC_022387
NC_022381
NC_027744
NC_028067
NC_025305
NC_028728
NC_028170
NC_028727
NC_010776
NC_027161
NC_024715
NC_024716
NC_024717
NC_027685
NC_015831
NC_019648
NC_011713
NC_019649
NC_019650
NC_028185
NC_008155
NC_027678
NC_026021
NC_024292
NC_026562
NC_027223
NC_014346
NC_019601
NC_024258
NC_018767
NC_018766
NC_015206
NC_019602
NC_021101
NC_024728
NC_024736
NC_023247
NC_025543
