"","species","accessions","urls"
"295791992","Dicksonia antarctica","HM021802","https://www.ncbi.nlm.nih.gov/nuccore/HM021802"
"295791981","Marsilea mutica","HM021801","https://www.ncbi.nlm.nih.gov/nuccore/HM021801"
"295791971","Vandenboschia radicans","HM021800","https://www.ncbi.nlm.nih.gov/nuccore/HM021800"
"295791960","cinnamon fern","HM021799","https://www.ncbi.nlm.nih.gov/nuccore/HM021799"
"295791949","Gleichenia japonica","HM021798","https://www.ncbi.nlm.nih.gov/nuccore/HM021798"
"218454801","Alsophila spinulosa","FJ556581","https://www.ncbi.nlm.nih.gov/nuccore/FJ556581"
"633674828","Dicksonia squarrosa","KJ569698","https://www.ncbi.nlm.nih.gov/nuccore/KJ569698"
"110628278","Angiopteris evecta","DQ821119","https://www.ncbi.nlm.nih.gov/nuccore/DQ821119"
"817161807","Cyrtomium falcatum","KP189363","https://www.ncbi.nlm.nih.gov/nuccore/KP189363"
"952009479","Woodwardia unigemmata","KT599101","https://www.ncbi.nlm.nih.gov/nuccore/KT599101"
"952009389","Cyrtomium devexiscapulae","KT599100","https://www.ncbi.nlm.nih.gov/nuccore/KT599100"
"748990836","Angiopteris angustifolia","KP099647","https://www.ncbi.nlm.nih.gov/nuccore/KP099647"
"748763192","Polypodium glycyrrhiza","KP136832","https://www.ncbi.nlm.nih.gov/nuccore/KP136832"
"748763110","Plagiogyria glauca","KP136831","https://www.ncbi.nlm.nih.gov/nuccore/KP136831"
"748763025","Cystopteris protrusa","KP136830","https://www.ncbi.nlm.nih.gov/nuccore/KP136830"
"748762970","Dipteris conjugata","KP136829","https://www.ncbi.nlm.nih.gov/nuccore/KP136829"
"727397313","Mankyua chejuensis","JF343520","https://www.ncbi.nlm.nih.gov/nuccore/JF343520"
"693583130","Ceratopteris richardii","KM052729","https://www.ncbi.nlm.nih.gov/nuccore/KM052729"
"558516635","Diplopterygium glaucum","KF225594","https://www.ncbi.nlm.nih.gov/nuccore/KF225594"
"558516581","Lygodium japonicum","KF225593","https://www.ncbi.nlm.nih.gov/nuccore/KF225593"
"558516496","cinnamon fern","KF225592","https://www.ncbi.nlm.nih.gov/nuccore/KF225592"
"474452474","Marsilea crenata","KC536646","https://www.ncbi.nlm.nih.gov/nuccore/KC536646"
"474452383","Lygodium japonicum","KC536645","https://www.ncbi.nlm.nih.gov/nuccore/KC536645"
"441017993","Psilotum nudum","KC117179","https://www.ncbi.nlm.nih.gov/nuccore/KC117179"
"441017901","Ophioglossum californicum","KC117178","https://www.ncbi.nlm.nih.gov/nuccore/KC117178"
"441017802","Equisetum hyemale","KC117177","https://www.ncbi.nlm.nih.gov/nuccore/KC117177"
"281371607","field horsetail","GU191334","https://www.ncbi.nlm.nih.gov/nuccore/GU191334"
"30266690","Adiantum capillus-veneris","AY178864","https://www.ncbi.nlm.nih.gov/nuccore/AY178864"
"332015867","field horsetail","HQ658110","https://www.ncbi.nlm.nih.gov/nuccore/HQ658110"
"332015866","Equisetum ramosissimum","HQ658109","https://www.ncbi.nlm.nih.gov/nuccore/HQ658109"
"332015856","Plagiogyria japonica","HQ658099","https://www.ncbi.nlm.nih.gov/nuccore/HQ658099"
"18389442","Psilotum nudum","AP004638","https://www.ncbi.nlm.nih.gov/nuccore/AP004638"
